#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95067     2.95067           0
           2     2.97454     2.96261     1.04744
           3     2.89172     2.93898    0.799888
           4     2.96337     2.94507    0.637627
           5      3.0149     2.95904    0.529329
           6     3.02919     2.97073    0.451982
           7     3.10981      2.9906    0.395537
           8      3.0686     3.00035    0.350821
           9     2.96621     2.99656    0.313909
          10      2.8643     2.98333    0.283024
          11     2.94614     2.97995    0.258297
          12     3.01191     2.98261     0.23797
          13     2.84965     2.97239    0.219675
          14     2.96908     2.97215    0.204574
          15     2.98488       2.973    0.191479
          16     2.89792      2.9683    0.179628
          17     3.01016     2.97077    0.169533
          18     2.99651      2.9722     0.16047
          19      2.8319     2.96481    0.151881
          20      2.9157     2.96236    0.144367
