#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.317251    0.317251           0
           2    0.314809    0.316053    0.111741
           3    0.314137    0.315414   0.0858448
           4    0.310165    0.314105   0.0680058
           5    0.317076    0.314707   0.0562965
           6    0.315912    0.314908   0.0479117
           7    0.315375    0.314975   0.0416586
           8    0.324325    0.316151   0.0369665
           9    0.320507    0.316648    0.033171
          10     0.31478    0.316464   0.0300224
          11    0.316908     0.31651   0.0274346
          12    0.313288    0.316245   0.0252318
          13    0.314127    0.316083   0.0233602
          14    0.319306    0.316349   0.0217744
          15    0.320405    0.316626   0.0203926
          16    0.316397    0.316615   0.0191601
          17    0.319309    0.316774   0.0180774
          18    0.319904    0.316948   0.0171121
          19     0.31588    0.316892   0.0162337
          20    0.310142    0.316577    0.015428
