#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.005182    0.005182           0
           2    0.012572    0.008877  0.00261276
           3    0.005506  0.00775333  0.00196869
           4    -0.02829  -0.0012575  0.00794207
           5   -0.002112  -0.0014284  0.00635549
           6   -0.005614   -0.002126  0.00533439
           7    0.007064-0.000813143  0.00473113
           8    0.010734  0.00063025  0.00435436
           9   -0.008122-0.000342222  0.00397765
          10   -0.001472  -0.0004552  0.00358149
          11    0.011044 0.000590182  0.00340505
          12   -0.004286 0.000183833  0.00314545
          13     0.00885 0.000850462  0.00297329
          14    0.012136  0.00165657  0.00286811
          15   -0.013366 0.000655067  0.00284639
          16   -0.003578   0.0003905  0.00268076
          17    0.000402 0.000391176  0.00252307
          18   -0.010406-0.000208667  0.00245316
          19    0.013186 0.000496316  0.00242323
          20   -0.007888    7.71e-05  0.00233805
