#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.36152     7.36152           0
           2     7.34296     7.35224  0.00656337
           3     7.52976     7.41142   0.0485131
           4     7.96491     7.54979    0.125236
           5     7.51689     7.54321    0.100362
           6     7.54997     7.54434   0.0836412
           7     7.24499     7.50157    0.081898
           8     7.17041     7.46018   0.0814532
           9     7.48775     7.46324   0.0724604
          10     7.61478      7.4784   0.0667802
          11     7.29342     7.46158   0.0627909
          12     7.39968     7.45642   0.0577698
          13     7.23512      7.4394   0.0557776
          14     7.45598     7.44058   0.0518061
          15     8.00576     7.47826   0.0605224
          16     7.38997     7.47274   0.0569907
          17     7.28217     7.46153   0.0547297
          18     7.41816     7.45912   0.0517422
          19     7.69512     7.47154   0.0504878
          20     7.59746     7.47784   0.0483544
