#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420237    0.420237           0
           2    0.421688    0.420962  0.00051302
           3    0.417615    0.419847 0.000973069
           4    0.424193    0.420933  0.00119082
           5    0.417908    0.420328  0.00109567
           6    0.420568    0.420368  0.00091379
           7    0.414559    0.419538  0.00109712
           8    0.411777    0.418568  0.00132101
           9     0.43248    0.420114  0.00187155
          10    0.409889    0.419091  0.00194372
          11    0.421899    0.419347   0.0017837
          12    0.428042    0.420071  0.00177615
          13    0.406664     0.41904  0.00191568
          14    0.426577    0.419578  0.00185295
          15    0.421914    0.419734  0.00173595
          16    0.414065     0.41938  0.00166321
          17    0.424752    0.419696  0.00159512
          18    0.430308    0.420285  0.00161177
          19      0.4175    0.420139   0.0015336
          20    0.431799    0.420722  0.00156381
