#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.003096    0.003096           0
           2   -0.000924    0.001086  0.00142128
           3    0.001616  0.00126267  0.00095844
           4    0.006362   0.0025375  0.00131743
           5   -0.003706   0.0012888  0.00153564
           6   -0.000346  0.00101633  0.00130365
           7   -0.002326 0.000538857  0.00120168
           8   -0.005718 -0.00024325  0.00128094
           9   -0.000554-0.000277778  0.00113908
          10   -0.004016  -0.0006516  0.00108478
          11    0.004612-0.000173091  0.00108659
          12    0.007326 0.000451833  0.00116193
          13   -0.003178 0.000172615  0.00110559
          14     -0.0017 3.88571e-05  0.00103468
          15    0.004084 0.000308533  0.00100023
          16    0.009324    0.000872  0.00108488
          17    0.004882  0.00110788  0.00104639
          18    0.001152  0.00111033  0.00098826
          19    0.004798  0.00130442 0.000955115
          20   -0.002172   0.0011306  0.00092304
