#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.23123     0.23123           0
           2    0.227565    0.229427   0.0811147
           3    0.231898    0.230251   0.0626664
           4    0.227615    0.229622   0.0497145
           5    0.229465     0.22959   0.0410704
           6    0.227748     0.22929   0.0348853
           7    0.229293    0.229297   0.0303268
           8     0.23019    0.229408    0.026824
           9    0.227189    0.229162   0.0240062
          10    0.229559    0.229203   0.0217441
          11    0.228741    0.229161   0.0198633
          12    0.234264    0.229588   0.0183178
          13    0.231164     0.22971   0.0169768
          14    0.229727    0.229711   0.0158111
          15    0.225379    0.229423   0.0147762
          16    0.229623    0.229438   0.0138845
          17    0.227614    0.229332   0.0130873
          18    0.225606    0.229125   0.0123705
          19    0.226846    0.229008   0.0117316
          20    0.229467    0.229032   0.0111616
