#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.65685     1.65685           0
           2     1.66946     1.66316    0.588015
           3     1.70878     1.67836    0.456793
           4     1.73298     1.69202    0.366333
           5     1.72932     1.69948    0.304012
           6     1.64312     1.69009    0.257138
           7     1.65306      1.6848    0.222831
           8     1.66725      1.6826    0.196741
           9     1.65603     1.67965    0.175954
          10     1.67062     1.67875     0.15926
          11     1.69365      1.6801    0.145629
          12     1.70864     1.68248    0.134238
          13     1.66886     1.68143    0.124267
          14     1.69456     1.68237    0.115798
          15     1.67515     1.68189    0.108324
          16     1.66937     1.68111    0.101733
          17     1.66656     1.68025   0.0958872
          18     1.65895     1.67907   0.0906533
          19      1.7062     1.68049   0.0860881
          20        1.74     1.68347   0.0820422
