#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.50498    -0.50498           0
           2     -0.5022    -0.50359 0.000982878
           3   -0.503884   -0.503688  0.00066012
           4    -0.50688   -0.504486 0.000850128
           5   -0.504536   -0.504496 0.000680161
           6   -0.502748   -0.504205 0.000626093
           7   -0.506072   -0.504471 0.000590754
           8   -0.504544   -0.504481 0.000516979
           9   -0.504968   -0.504535 0.000462366
          10   -0.503868   -0.504468 0.000420908
          11   -0.504436   -0.504465 0.000382654
          12   -0.505772   -0.504574 0.000365937
          13    -0.50374    -0.50451 0.000343365
          14    -0.50466   -0.504521 0.000319007
          15   -0.503912    -0.50448 0.000300308
          16   -0.506384   -0.504599 0.000304204
          17   -0.503868   -0.504556 0.000289333
          18   -0.505024   -0.504582 0.000274425
          19     -0.5067   -0.504693 0.000281714
          20   -0.503872   -0.504652 0.000270606
