#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      166.66      166.66           0
           2     166.154     166.407     58.8336
           3     166.623     166.479     45.3098
           4     166.667     166.526     36.0539
           5     166.667     166.554     29.7941
           6     166.667     166.573     25.3432
           7     166.667     166.586     22.0327
           8     166.662     166.596     19.4795
           9     166.658     166.603     17.4527
          10     166.667     166.609     15.8059
          11     166.667     166.614     14.4419
          12     166.667     166.619     13.2938
          13     166.667     166.622     12.3143
          14     166.667     166.625     11.4689
          15      166.57     166.622     10.7315
          16     166.662     166.624     10.0833
          17     166.431     166.613     9.50813
          18     166.667     166.616     8.99564
          19     166.666     166.619      8.5355
          20     166.667     166.621      8.1201
