1,0
1.41216,0.0012403
1.72986,0.00195976
2.00007,0.0025001
2.23623,0.00284677
2.44873,0.0028515
2.64375,0.00308115
2.82603,0.00312313
2.99957,0.00350967
3.16142,0.00382634
3.31396,0.00417183
3.4604,0.00435505
3.60413,0.00439663
3.73927,0.00435447
3.87051,0.00479474
3.99737,0.00500272
4.11763,0.00470145
4.2366,0.0050611
4.35037,0.00547218
4.46344,0.00576494
4.575,0.00591912
4.68317,0.00593714
4.78753,0.00596469
4.89183,0.00618796
4.99338,0.00646467
5.09338,0.0066329
5.18748,0.00679106
5.28025,0.00673995
5.37585,0.00673238
5.46481,0.00659329
5.55528,0.0064639
5.64409,0.00682785
5.73055,0.00705625
5.81544,0.00726433
5.89997,0.00742919
5.98582,0.0075264
6.06792,0.00781113
6.14782,0.00832533
6.2299,0.0085928
6.31143,0.00901523
6.38719,0.00899209
6.46484,0.00914425
6.53995,0.0092493
6.61732,0.00909622
6.69373,0.00927002
6.76499,0.00946518
6.84058,0.00934771
6.91211,0.00945552
6.98194,0.00917675
7.05108,0.00914411
7.11994,0.00924931
7.1911,0.00929775
7.25908,0.0092574
7.32641,0.00928631
7.39253,0.00927138
7.45928,0.00922928
7.52357,0.00894747
7.59066,0.00915155
7.65578,0.00905268
7.7197,0.00909587
7.78247,0.00911888
7.84546,0.00924248
7.90658,0.00894375
7.97085,0.00922071
8.03606,0.0091729
8.09892,0.00930488
8.1594,0.00941349
8.21977,0.00941196
8.28011,0.0093429
8.33937,0.00938508
8.4009,0.00943591
8.45813,0.00949379
8.51581,0.0094066
8.5771,0.0093661
8.63551,0.00952253
8.69159,0.00944898
8.74878,0.00934363
8.8026,0.00921217
8.85922,0.00939706
8.91434,0.00945732
8.96949,0.00970706
9.02601,0.00957157
9.07938,0.00942933
9.13159,0.00943138
9.189,0.0095997
9.23984,0.0095914
9.29586,0.00932532
9.3476,0.00939552
9.40332,0.00921364
9.45502,0.00938507
9.50836,0.00955428
9.56259,0.00984606
9.61249,0.00978702
9.66376,0.00973011
9.71504,0.00977739
9.76628,0.00981346
9.82128,0.00976025
9.87117,0.0100612
9.92434,0.0102106
9.97557,0.0102715
