#   N_BLOCK:  ACCEPTANCE:
           1    0.537108
           2    0.537906
           3    0.538079
           4    0.538049
           5    0.538023
           6    0.538034
           7    0.537844
           8    0.537639
           9    0.537679
          10     0.53776
          11    0.537675
          12    0.537577
          13    0.537608
          14    0.537635
          15    0.537682
          16    0.537707
          17    0.537729
          18    0.537633
          19    0.537632
          20    0.537623
