#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201226    0.201226           0
           2    0.200718    0.200972 0.000179658
           3    0.199155    0.200366 0.000508768
           4    0.194417    0.198879  0.00134333
           5    0.196434     0.19839  0.00116026
           6    0.195218    0.197861  0.00108061
           7    0.196827    0.197714 0.000936286
           8    0.200933    0.198116  0.00090158
           9    0.197374    0.198034 0.000805168
          10    0.195949    0.197825 0.000751162
          11    0.192474    0.197339 0.000825482
          12    0.197267    0.197333 0.000756714
          13    0.197785    0.197367 0.000699305
          14    0.196519    0.197307 0.000651972
          15    0.194752    0.197136 0.000630363
          16    0.198651    0.197231 0.000598033
          17    0.197674    0.197257 0.000563423
          18    0.195218    0.197144 0.000543397
          19    0.193842     0.19697  0.00054188
          20    0.198116    0.197027 0.000517804
