#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36937     1.36937           0
           2      1.3433     1.35633  0.00921502
           3     1.34346     1.35204  0.00707205
           4     1.36267      1.3547  0.00578171
           5     1.35523     1.35481  0.00462633
           6     1.31325     1.34788  0.00740525
           7     1.35395     1.34875  0.00639786
           8      1.3893     1.35382  0.00733645
           9     1.35998      1.3545  0.00655318
          10     1.32164     1.35122   0.0066709
          11     1.38833     1.35459    0.006865
          12     1.37779     1.35652  0.00655943
          13     1.35849     1.35667  0.00605661
          14     1.37378      1.3579  0.00574587
          15     1.34877     1.35729  0.00539489
          16     1.35903      1.3574  0.00505881
          17     1.37179     1.35824  0.00483153
          18     1.37348     1.35909  0.00463664
          19     1.34012     1.35809  0.00449883
          20     1.38667     1.35952   0.0044951
