#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.043828   -0.043828           0
           2    0.031408    -0.00621   0.0265999
           3    0.004414 -0.00266867   0.0179675
           4    -0.01085   -0.004714   0.0135915
           5   -0.014628  -0.0066968   0.0110169
           6   -0.039294  -0.0121297   0.0104347
           7    0.008858 -0.00913143  0.00936487
           8     0.01357 -0.00629375  0.00861347
           9    -0.00198 -0.00581444  0.00766974
          10   -0.020852  -0.0073182  0.00704864
          11   -0.053862  -0.0115495  0.00757209
          12     0.01018 -0.00973867  0.00715432
          13   -0.013174  -0.0100029  0.00660887
          14    0.022518    -0.00768   0.0065323
          15     0.02132 -0.00574667   0.0063765
          16    0.017714 -0.00428037  0.00614424
          17   -0.034192 -0.00603988  0.00602949
          18   -0.012992 -0.00642611  0.00570687
          19   -0.019204 -0.00709863  0.00544599
          20   -0.054698  -0.0094786  0.00566993
