#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449564    0.449564           0
           2    0.456101    0.452938    0.160138
           3    0.437506    0.447794    0.121874
           4     0.45178    0.448957    0.097202
           5    0.459652     0.45113   0.0807006
           6    0.448761    0.450816   0.0685894
           7    0.431753    0.448093   0.0592647
           8    0.466029     0.45038   0.0526615
           9    0.440663    0.449382   0.0470757
          10    0.443234    0.448768   0.0425739
          11    0.447176    0.448632   0.0388867
          12    0.424435    0.446637   0.0356352
          13    0.418748    0.444492   0.0328503
          14    0.441728    0.444352   0.0305849
          15    0.445859    0.444458   0.0286258
          16    0.450588    0.444853   0.0269205
          17     0.44267     0.44473   0.0253795
          18    0.435405    0.444241   0.0239847
          19    0.450728    0.444583    0.022775
          20    0.453288    0.445019   0.0216875
