#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.3666     15.3666           0
           2     15.1281     15.2474     5.39075
           3     15.4356     15.3101     4.16688
           4     15.8976      15.457     3.34653
           5     15.8843     15.5424     2.78032
           6     16.4172     15.6882     2.38689
           7     14.5871     15.5309     2.05412
           8     16.4473     15.6455     1.82937
           9     14.5312     15.5217       1.626
          10     15.0551      15.475     1.46809
          11     15.6511      15.491     1.34274
          12     13.9587     15.3633     1.22577
          13     15.5597     15.3784     1.13655
          14     14.5269     15.3176     1.05431
          15     15.3882     15.3223     0.98685
          16     15.9109     15.3591    0.929461
          17     14.9462     15.3348    0.875115
          18     15.8923     15.3658    0.829603
          19     15.8536     15.3915    0.788471
          20     15.6869     15.4062    0.750807
